id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_b02_mean,eta_b12_mean,eta_b03_mean,eta_b13_mean,eta_b04_mean,eta_b14_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha12_mean,eta_alpha13_mean,eta_alpha14_mean,eta_alpha21_mean,eta_alpha22_mean,eta_alpha23_mean,eta_alpha24_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_b02_mode,eta_b12_mode,eta_b03_mode,eta_b13_mode,eta_b04_mode,eta_b14_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha12_mode,eta_alpha13_mode,eta_alpha14_mode,eta_alpha21_mode,eta_alpha22_mode,eta_alpha23_mode,eta_alpha24_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_b02_sd,eta_b12_sd,eta_b03_sd,eta_b13_sd,eta_b04_sd,eta_b14_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha12_sd,eta_alpha13_sd,eta_alpha14_sd,eta_alpha21_sd,eta_alpha22_sd,eta_alpha23_sd,eta_alpha24_sd
1,0.962003,-0.0156366,0.017013,-0.0992755,-0.0248603,-0.00218106,0.06234,0.0666974,3.99997,0.00499737,0,0,0,0,0,0,0,0,0,0,0,0,1.05546,-0.0105297,0.0250437,0.0878697,-0.0241969,-0.00212685,0.0879181,0.0464299,3.98185,0.00142355,0,0,0,0,0,0,0,0,0,0,0,0,0.580605,-0.0251062,0.0153531,0.0124016,-0.0245524,-0.00187605,0.0885822,0.0526774,3.99201,-0.00211614,0,0,0,0,0,0,0,0,0,0,0,0,1.05364,0.105122,0.0768828,0.939384,0.0255764,0.005818,0.414744,0.130131,0.607573,0.0916579,0,0,0,0,0,0,0,0,0,0,0,0
2,-1.90245,0.00628584,-0.0223227,-0.126083,0.0472721,-0.0028873,-0.422752,0.0161247,-0.394911,-0.054673,0,0,0,0,0,0,0,0,0,0,0,0,-2.03718,0.0305497,0.000740994,-0.1735,0.0455583,-0.00288216,-0.519098,0.0246967,-0.405605,-0.0535888,0,0,0,0,0,0,0,0,0,0,0,0,-2.75678,0.0646666,0.0058317,0.255528,0.0441861,-0.00275983,-0.434659,0.0157499,-0.407406,-0.0514163,0,0,0,0,0,0,0,0,0,0,0,0,0.666486,0.0798552,0.0696104,0.875292,0.0213383,0.00158547,0.296721,0.0235215,0.511031,0.0390422,0,0,0,0,0,0,0,0,0,0,0,0
3,-1.31392,-0.0701959,0.0165952,-0.2924,-0.0277001,0.00425066,0.582465,-0.22186,0.281268,0.0686931,0,0,0,0,0,0,0,0,0,0,0,0,-1.48491,-0.0395819,0.00929471,-0.247189,-0.0343217,0.00489809,0.465972,-0.211303,0.347788,0.0643207,0,0,0,0,0,0,0,0,0,0,0,0,-1.11446,-0.0604662,0.0386257,0.388477,-0.0334676,0.00475306,0.515502,-0.216245,0.374899,0.061853,0,0,0,0,0,0,0,0,0,0,0,0,0.51279,0.0824723,0.0585397,0.938602,0.0235838,0.00192088,0.327256,0.0274357,0.390644,0.0302524,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.406308,-0.031654,0.0312954,-0.15421,-0.00603551,-0.000950628,-0.0360805,0.0938674,-1.37243,-0.0264011,0,0,0,0,0,0,0,0,0,0,0,0,-0.318262,-0.0410304,0.0350446,-0.00435612,-0.00605184,-0.000455556,-0.0220861,0.0699543,-1.35976,-0.0498241,0,0,0,0,0,0,0,0,0,0,0,0,-0.311213,-0.0620865,0.0727247,0.797953,-0.00546513,-0.000799837,-0.00852992,0.0779247,-1.42346,-0.0295447,0,0,0,0,0,0,0,0,0,0,0,0,0.887761,0.0866539,0.0743565,0.998591,0.026242,0.00563311,0.42382,0.125065,0.459986,0.0872694,0,0,0,0,0,0,0,0,0,0,0,0
5,2.26501,-0.000927238,-0.000288832,0.0680739,-0.0586648,-0.000281979,-0.929391,-0.00897039,-0.526579,-0.00157749,0,0,0,0,0,0,0,0,0,0,0,0,2.24015,-0.0113301,0.00354686,0.0289702,-0.061698,0.000627224,-0.942625,-0.0238234,-0.557491,-0.00231186,0,0,0,0,0,0,0,0,0,0,0,0,2.00824,-0.000885317,0.000456481,-0.00247654,-0.0588309,0.000131525,-0.936807,-0.0105605,-0.548952,0.000155801,0,0,0,0,0,0,0,0,0,0,0,0,1.13323,0.0999163,0.0795472,0.932066,0.0301068,0.00604198,0.575949,0.145629,0.592956,0.0992908,0,0,0,0,0,0,0,0,0,0,0,0
6,1.23649,-0.0404175,-0.00493354,-0.222327,0.0687871,0.0020103,1.82905,-0.0401513,-0.0508452,0.0352158,0,0,0,0,0,0,0,0,0,0,0,0,1.29627,-0.0159259,0.013851,-0.21295,0.07053,0.00185145,1.84375,-0.0402219,0.170369,0.0230266,0,0,0,0,0,0,0,0,0,0,0,0,1.22996,-0.0212055,0.013094,-0.00134871,0.0692438,0.00191834,1.83974,-0.03931,0.00387327,0.0332233,0,0,0,0,0,0,0,0,0,0,0,0,0.739612,0.0793413,0.0673284,0.797672,0.0203192,0.00129948,0.332807,0.0200645,0.358536,0.0237275,0,0,0,0,0,0,0,0,0,0,0,0
7,0.730002,-0.0233304,0.00280079,-0.315498,-0.0113344,-0.00172272,-0.459007,-0.0137629,-0.43679,-0.0407346,0,0,0,0,0,0,0,0,0,0,0,0,0.88738,-0.0233427,0.00830055,-0.199728,-0.0112792,-0.00181866,-0.287902,-0.0464339,-0.531045,-0.0330095,0,0,0,0,0,0,0,0,0,0,0,0,0.392634,-0.0206136,0.0123046,-0.00385014,-0.0143615,-0.00145947,-0.339531,-0.0375785,-0.470068,-0.0397177,0,0,0,0,0,0,0,0,0,0,0,0,1.25933,0.0924201,0.0768016,0.874738,0.0221767,0.00449061,0.422338,0.101972,0.436609,0.0886609,0,0,0,0,0,0,0,0,0,0,0,0
8,1.6267,0.0364608,-0.00279292,-0.139292,0.00812325,0.00385958,0.563966,0.00784697,2.45608,0.0620312,0,0,0,0,0,0,0,0,0,0,0,0,1.35593,0.0469309,-0.00217131,-0.0946757,0.0146988,0.00341536,0.671459,0.000762015,2.43673,0.0658282,0,0,0,0,0,0,0,0,0,0,0,0,-0.031967,0.121779,0.002938,0.0341257,0.0114251,0.00361997,0.632332,0.00437729,2.42294,0.0659784,0,0,0,0,0,0,0,0,0,0,0,0,1.44741,0.0991857,0.054994,0.788736,0.021718,0.00150199,0.374861,0.0255944,0.432049,0.0302728,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.906454,0.00189129,-0.00521894,-0.14979,-0.000475804,0.00131754,1.06748,-0.0250685,2.45093,0.0139384,0,0,0,0,0,0,0,0,0,0,0,0,-0.936201,0.00871918,-0.00785295,-0.187468,-0.000133129,0.00159931,1.05358,-0.00400867,2.48539,0.00589658,0,0,0,0,0,0,0,0,0,0,0,0,-1.53928,0.028082,-0.01457,0.181943,-0.0021506,0.00161424,1.07303,-0.0198065,2.46261,0.00986379,0,0,0,0,0,0,0,0,0,0,0,0,0.989179,0.0938562,0.0770619,0.824297,0.020851,0.00531454,0.443077,0.127597,0.49703,0.0892533,0,0,0,0,0,0,0,0,0,0,0,0
10,0.884292,0.00379551,-0.00148429,-0.126977,0.0181377,0.000614328,1.08409,0.033453,2.09681,-0.0101855,0,0,0,0,0,0,0,0,0,0,0,0,0.916308,-0.00018455,0.000293952,-0.0936411,0.0166272,0.000676938,1.13994,0.0213931,2.0462,-0.00272543,0,0,0,0,0,0,0,0,0,0,0,0,0.536332,0.00684716,-0.00391834,0.0274565,0.0169602,-9.21747e-06,1.13846,0.0315208,2.06732,0.000388281,0,0,0,0,0,0,0,0,0,0,0,0,1.03576,0.0943583,0.0851574,0.897715,0.0267015,0.00533249,0.445694,0.141756,0.620543,0.0947215,0,0,0,0,0,0,0,0,0,0,0,0
