rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha21
1,1,2.44526324530292,0.0461602985653092,-0.0106157504071394,0.0304212377924089,0,0,0,0,0,0
2,1,1.7207875991007,0.080882856788886,0.0264018341207756,-0.460838366264901,0,0,0,0,0,0
3,1,3.64251984967962,-0.0536731349336181,0.0302146092355319,-1.08718643696359,0,0,0,0,0,0
1,2,0.00350451602143842,-0.107325688080126,0.0207377322983767,0.032742172279723,0,0,0,0,0,0
2,2,0.0745881784665983,0.071451978595931,-0.0291150055497931,-0.25275415709572,0,0,0,0,0,0
3,2,0.14112379107242,0.0986083213599734,0.00121425378274895,-0.344574166237329,0,0,0,0,0,0
1,3,2.15488911001621,0.0658491946792662,-0.0384443634621299,-0.671769771315641,0,0,0,0,0,0
2,3,3.08310573547028,-0.0287089728670832,-0.0101679225594432,-0.285305099566126,0,0,0,0,0,0
3,3,1.44889793200129,0.066075904229964,0.0672971416311758,-0.281952470227611,0,0,0,0,0,0
1,4,2.0941293113703,0.105292149587608,-0.0177214926550712,0.219225377812017,0,0,0,0,0,0
2,4,1.98617506317165,0.0906479741088274,-0.0494564002940835,-0.162656884075602,0,0,0,0,0,0
3,4,1.62209759973491,0.0342907627705216,-0.0153479518525672,-0.581601482585864,0,0,0,0,0,0
1,5,1.30580437751316,-0.0710489928477504,-0.00858348134611245,-0.995052174449439,0,0,0,0,0,0
2,5,0.886193736406043,0.0833144936670821,-0.0220267107480907,-0.289759958700601,0,0,0,0,0,0
3,5,1.52382139085196,0.159949870412698,-0.0472536760056927,-1.20438632115839,0,0,0,0,0,0
1,6,-1.04945163525865,0.230229689988167,-0.0481294067231612,0.691557554746115,0,0,0,0,0,0
2,6,2.18951994558639,0.166470071427669,-0.0311557864333059,1.45060741660049,0,0,0,0,0,0
3,6,0.0734695570740493,0.228849269297997,-0.0444573817961765,1.13475650613942,0,0,0,0,0,0
1,7,0.0903638609328903,-0.0191659371410995,0.0244900286701228,1.94853697463006,0,0,0,0,0,0
2,7,1.67135882906297,-0.0263373173547049,0.0532969777708819,1.56680263712642,0,0,0,0,0,0
3,7,-0.16094147934208,-0.0773989847747802,0.049315804820144,0.793910120554097,0,0,0,0,0,0
1,8,-0.359202098649487,-0.0687765914095895,0.0272072462802289,0.207820376959678,0,0,0,0,0,0
2,8,-0.696941870925982,-0.0992355278548964,0.0650889073356646,-0.388130226022457,0,0,0,0,0,0
3,8,-1.14902641044588,-0.0987304938659884,-0.0092236723478013,0.29397332627049,0,0,0,0,0,0
1,9,0.281196035446648,-0.0809979494441459,-0.101148015545429,-0.476726993182196,0,0,0,0,0,0
2,9,0.66787573062183,0.0170051333998529,0.0462078177614946,0.626042160365103,0,0,0,0,0,0
3,9,-1.21346668907414,-0.013474909786901,-0.0886146463165873,0.804261657568067,0,0,0,0,0,0
1,10,-3.00291077545305,-0.0135218871935026,0.0230187327701441,1.11663486149562,0,0,0,0,0,0
2,10,-2.87339883035862,-0.0624490700464592,0.0540319990408196,-0.0225587521816544,0,0,0,0,0,0
3,10,-2.57452555579966,-0.0332888051013424,0.0448743450294733,0.540197388141817,0,0,0,0,0,0
1,11,-0.730092695304197,-0.164167905054761,0.0310658997053548,-0.650893946709131,0,0,0,0,0,0
