id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_b02_mean,eta_b12_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha12_mean,eta_alpha21_mean,eta_alpha22_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_b02_mode,eta_b12_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha12_mode,eta_alpha21_mode,eta_alpha22_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_b02_sd,eta_b12_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha12_sd,eta_alpha21_sd,eta_alpha22_sd
1,0.948549,-0.00960157,0.0102799,-0.0911384,-0.0278257,-0.00438976,0,0,0,0,0,0,0,0,0.942235,-0.0288208,0.012656,-0.116702,-0.0312664,-0.00398478,0,0,0,0,0,0,0,0,0.626049,-0.0248133,0.0185909,0.0083387,-0.0298406,-0.00361792,0,0,0,0,0,0,0,0,0.9992,0.0997142,0.0842232,0.772323,0.0255306,0.00566663,0,0,0,0,0,0,0,0
2,-1.6858,0.00600451,-0.0101206,-0.213974,0.0465701,-0.0030753,0,0,0,0,0,0,0,0,-1.74549,0.00847997,-0.00118465,-0.467955,0.0434137,-0.00282274,0,0,0,0,0,0,0,0,-2.71973,0.0699272,0.0127234,0.194177,0.0428329,-0.00286586,0,0,0,0,0,0,0,0,0.689305,0.0938231,0.0724026,0.785292,0.0193086,0.00152921,0,0,0,0,0,0,0,0
3,-1.26351,-0.0496367,0.031627,-0.328804,-0.0356206,0.00479198,0,0,0,0,0,0,0,0,-1.27122,-0.0601775,0.0235016,-0.246108,-0.0413044,0.00504336,0,0,0,0,0,0,0,0,-1.09633,-0.056398,0.0476955,0.300601,-0.0345192,0.00460159,0,0,0,0,0,0,0,0,0.488336,0.0784009,0.0569018,0.84096,0.0205577,0.00152328,0,0,0,0,0,0,0,0
4,-0.273813,-0.0437331,0.0333713,-0.0275168,-0.0105338,-0.00285221,0,0,0,0,0,0,0,0,-0.252113,-0.0193746,0.0366103,-0.0874046,-0.00433343,-0.00270505,0,0,0,0,0,0,0,0,-0.315242,-0.0630086,0.0809058,0.63655,-0.00874038,-0.00310123,0,0,0,0,0,0,0,0,0.923467,0.100003,0.0921064,0.84689,0.0238971,0.00503445,0,0,0,0,0,0,0,0
5,2.19812,-0.0186792,0.00740693,-0.00877414,-0.047215,0.00154306,0,0,0,0,0,0,0,0,1.9996,-0.0276268,0.00582824,0.0614095,-0.0526935,0.00127642,0,0,0,0,0,0,0,0,1.87914,-0.00507317,0.00351287,-0.0104378,-0.0509855,0.000799201,0,0,0,0,0,0,0,0,1.01906,0.104145,0.0848507,0.785163,0.031507,0.00519887,0,0,0,0,0,0,0,0
6,1.46047,-0.0460768,0.00662123,-0.25454,0.0684875,0.00168356,0,0,0,0,0,0,0,0,1.2335,-0.0338677,-0.0155612,-0.349278,0.0687222,0.00169369,0,0,0,0,0,0,0,0,1.26054,-0.0206815,0.0162318,-0.00266434,0.0678377,0.00173452,0,0,0,0,0,0,0,0,0.692327,0.101722,0.0822927,0.849918,0.017444,0.00106736,0,0,0,0,0,0,0,0
7,0.775477,-0.0184104,0.0126949,-0.140123,-0.0136168,-0.00109169,0,0,0,0,0,0,0,0,0.751657,-0.0234381,0.0148841,-0.160068,-0.0132683,-0.00136624,0,0,0,0,0,0,0,0,0.383224,-0.0225589,0.017001,0.00141334,-0.0143705,-0.00104382,0,0,0,0,0,0,0,0,1.14196,0.0898073,0.0949078,0.792464,0.0209522,0.00404951,0,0,0,0,0,0,0,0
8,1.43759,0.055696,-0.0031562,-0.203527,0.0101075,0.00351383,0,0,0,0,0,0,0,0,1.48486,0.0642043,0.00359637,-0.116839,0.0171096,0.00296901,0,0,0,0,0,0,0,0,-0.0410117,0.125714,0.00468966,0.0208669,0.0102824,0.00345899,0,0,0,0,0,0,0,0,1.284,0.0856122,0.085084,0.580077,0.0190384,0.00136101,0,0,0,0,0,0,0,0
9,-0.893192,0.0130415,-0.0089039,-0.275142,0.000977885,0.00170015,0,0,0,0,0,0,0,0,-0.986438,0.014659,0.000505037,-0.27927,-0.00136687,0.00236715,0,0,0,0,0,0,0,0,-1.50738,0.023145,-0.0158514,0.122577,-0.00111204,0.00197412,0,0,0,0,0,0,0,0,0.766157,0.0815139,0.0821551,0.683623,0.0221729,0.00479193,0,0,0,0,0,0,0,0
10,0.876047,0.00578805,-0.00426853,-0.12141,0.0214387,-0.000341644,0,0,0,0,0,0,0,0,0.870909,-0.00294386,0.00389097,-0.105753,0.0190592,0.00124264,0,0,0,0,0,0,0,0,0.502786,0.00422634,-0.00301978,0.0134999,0.0199336,0.000220496,0,0,0,0,0,0,0,0,1.04207,0.0930983,0.0793704,0.857032,0.0244592,0.00582037,0,0,0,0,0,0,0,0
11,2.06841,-0.00985461,-0.0154921,-0.178306,-0.0273604,-0.00348139,0,0,0,0,0,0,0,0,2.12194,-0.00517744,-0.00946874,-0.149018,-0.0235293,-0.00455391,0,0,0,0,0,0,0,0,1.77375,0.0018831,-0.00727602,0.020992,-0.0262121,-0.0038955,0,0,0,0,0,0,0,0,0.92146,0.0790602,0.079564,0.796553,0.0234716,0.00323,0,0,0,0,0,0,0,0
12,-1.02917,-0.00756235,0.00773786,0.0377299,-0.00270138,-0.000336653,0,0,0,0,0,0,0,0,-0.826215,-0.0132255,-0.00691757,0.0120534,-0.000344877,-0.000910013,0,0,0,0,0,0,0,0,-1.59445,-0.00601638,0.00420655,-0.0117677,-0.000400033,-0.00077717,0,0,0,0,0,0,0,0,1.18368,0.0952241,0.0933053,0.836283,0.0283522,0.00543552,0,0,0,0,0,0,0,0
13,1.76063,0.169241,-0.0213143,0.778291,-0.038755,0.00290643,0,0,0,0,0,0,0,0,1.51206,0.160765,-0.0202726,0.940206,-0.0457575,0.00328137,0,0,0,0,0,0,0,0,1.30819,0.163755,-0.00704934,0.87694,-0.0399089,0.00292695,0,0,0,0,0,0,0,0,1.11068,0.0149424,0.0789064,0.36807,0.0190394,0.00113354,0,0,0,0,0,0,0,0
14,-0.450684,0.169697,-0.00434677,0.505792,0.00096226,-0.00199313,0,0,0,0,0,0,0,0,-0.483581,0.159263,-0.0256015,0.528751,0.00345933,-0.00203697,0,0,0,0,0,0,0,0,-1.60807,0.15287,-0.0114152,0.757279,6.63295e-05,-0.00172332,0,0,0,0,0,0,0,0,1.31527,0.0590114,0.0781532,0.646367,0.0237912,0.00299927,0,0,0,0,0,0,0,0
15,0.0049665,0.023899,-0.00948768,0.126475,-0.0222833,-0.00286607,0,0,0,0,0,0,0,0,0.0554092,0.0252652,-0.0166817,0.257645,-0.0230487,-0.00133886,0,0,0,0,0,0,0,0,-0.467801,0.0138373,-0.00717148,0.0485788,-0.0237793,-0.00255941,0,0,0,0,0,0,0,0,1.2641,0.111004,0.0896714,0.986143,0.0325269,0.00525453,0,0,0,0,0,0,0,0
16,1.64757,-0.0039198,-0.00365655,-0.024279,-0.0030512,0.00106202,0,0,0,0,0,0,0,0,1.66751,-0.0107953,-0.00238338,-0.198796,-0.003899,0.00078911,0,0,0,0,0,0,0,0,1.34231,-0.00163582,0.00108336,-0.003932,-0.00351072,0.000333581,0,0,0,0,0,0,0,0,1.006,0.0963657,0.094608,0.926729,0.0293621,0.00559605,0,0,0,0,0,0,0,0
17,1.40465,-0.0350753,-0.00232256,-0.299793,-0.031323,0.00623303,0,0,0,0,0,0,0,0,1.34523,-0.0471721,-0.00255286,-0.211211,-0.0259257,0.00584645,0,0,0,0,0,0,0,0,1.39239,-0.0276779,0.0174239,0.0116571,-0.0267776,0.00594683,0,0,0,0,0,0,0,0,0.740232,0.0939709,0.0708299,0.692206,0.0171942,0.00104446,0,0,0,0,0,0,0,0
18,-1.26998,-0.0498908,0.0292027,0.0524459,-0.0165215,-0.000488185,0,0,0,0,0,0,0,0,-1.21972,-0.0508786,0.0445794,-0.0379379,-0.0172553,0.000462329,0,0,0,0,0,0,0,0,-1.56255,-0.0758675,0.0726604,0.671682,-0.0175784,-0.000491948,0,0,0,0,0,0,0,0,0.839666,0.0789568,0.0894203,0.815289,0.0256723,0.00541648,0,0,0,0,0,0,0,0
19,2.94898,0.0125297,-0.012396,-0.183208,-0.0497364,-0.00624368,0,0,0,0,0,0,0,0,2.96505,0.0226509,-0.00448088,-0.00829639,-0.0502179,-0.00655934,0,0,0,0,0,0,0,0,2.7148,0.0107565,-0.00554633,0.0349886,-0.0504809,-0.00628406,0,0,0,0,0,0,0,0,0.93841,0.103135,0.0734065,0.908238,0.0247223,0.00502199,0,0,0,0,0,0,0,0
20,-1.97119,-0.0172796,0.00912433,0.0482518,-0.0181885,-0.000725149,0,0,0,0,0,0,0,0,-2.08297,-0.00159915,0.0246881,-0.0209473,-0.0197175,-0.000262226,0,0,0,0,0,0,0,0,-2.93692,-0.00591595,0.00413988,-0.0116424,-0.0196325,-0.000261859,0,0,0,0,0,0,0,0,1.1209,0.100872,0.0927057,0.785257,0.0260995,0.00527642,0,0,0,0,0,0,0,0
21,-0.149243,0.0214558,-0.0333018,-0.0955101,0.00504538,-0.000934756,0,0,0,0,0,0,0,0,-0.259873,0.0233161,-0.0254964,0.235425,0.00432935,-0.000881209,0,0,0,0,0,0,0,0,-1.04448,0.0596783,-0.0126787,0.494755,0.00766813,-0.00110071,0,0,0,0,0,0,0,0,0.709355,0.0500505,0.0667197,0.772656,0.0182492,0.000924508,0,0,0,0,0,0,0,0
22,3.55678,0.124389,-0.0393931,0.215878,-0.0414515,-0.00533484,0,0,0,0,0,0,0,0,3.53994,0.125518,-0.0257424,0.17901,-0.0474206,-0.0051182,0,0,0,0,0,0,0,0,2.73041,0.123476,-0.0178152,0.49599,-0.0447494,-0.00523589,0,0,0,0,0,0,0,0,1.37965,0.0366187,0.0764136,0.628416,0.0176723,0.000990996,0,0,0,0,0,0,0,0
23,0.253675,-0.0150081,0.0155227,-0.169799,-0.00739776,-0.000164776,0,0,0,0,0,0,0,0,0.279373,-0.0212888,0.00708439,-0.147239,-0.00901038,-0.000594148,0,0,0,0,0,0,0,0,-0.139698,-0.0239423,0.0179034,0.0057089,-0.00905115,-0.000479562,0,0,0,0,0,0,0,0,0.813085,0.0921482,0.0927106,0.798879,0.0226462,0.0050381,0,0,0,0,0,0,0,0
