id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha21_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha21_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha21_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha21_sd
1,1.05471,-0.00405111,0.0140628,-0.194675,0,0,0,0,0,0,1.00707,-0.0176776,-0.00964879,-0.18679,0,0,0,0,0,0,0.661169,-0.0163043,0.013086,-0.0247639,0,0,0,0,0,0,0.943398,0.103132,0.0869772,0.996726,0,0,0,0,0,0
2,-1.7664,0.00280077,-0.0117659,-0.427872,0,0,0,0,0,0,-1.78886,0.0144429,-0.0079872,-0.395241,0,0,0,0,0,0,-2.72048,0.0601592,0.00648765,0.355142,0,0,0,0,0,0,0.678442,0.0842005,0.0737116,0.926145,0,0,0,0,0,0
3,-1.34927,-0.0532304,0.0173404,-0.313005,0,0,0,0,0,0,-1.2812,-0.0428764,0.0214785,-0.398544,0,0,0,0,0,0,-1.0779,-0.0593006,0.0442106,0.492315,0,0,0,0,0,0,0.69908,0.096643,0.072734,1.12607,0,0,0,0,0,0
4,-0.267106,-0.0419351,0.0252188,-0.0424215,0,0,0,0,0,0,-0.269682,-0.0493318,0.0222349,-0.093295,0,0,0,0,0,0,-0.251263,-0.0617522,0.0753432,0.950826,0,0,0,0,0,0,0.838188,0.0994097,0.0781973,0.984689,0,0,0,0,0,0
5,2.28001,-0.0175898,0.00398548,0.032024,0,0,0,0,0,0,2.26286,-0.0329134,-0.00336773,0.0385144,0,0,0,0,0,0,1.90895,-0.00350324,0.00251594,-0.0148034,0,0,0,0,0,0,1.05541,0.089496,0.0863499,1.0158,0,0,0,0,0,0
6,1.17241,-0.0107819,-0.0065116,-0.480661,0,0,0,0,0,0,1.08335,-0.0116005,-0.00809985,-0.342628,0,0,0,0,0,0,1.18496,-0.00905307,0.015181,-0.0312863,0,0,0,0,0,0,0.676949,0.0918135,0.0682542,0.893128,0,0,0,0,0,0
7,0.586288,-0.00937982,0.00649239,-0.276569,0,0,0,0,0,0,0.695775,-0.0165148,0.0158783,-0.296655,0,0,0,0,0,0,0.356852,-0.0203003,0.0153017,-0.0144161,0,0,0,0,0,0,0.97815,0.0879314,0.0788212,0.917694,0,0,0,0,0,0
8,1.41982,0.0465685,-0.0129086,-0.224173,0,0,0,0,0,0,1.18138,0.0581122,0.0130611,0.176517,0,0,0,0,0,0,0.0322083,0.115294,0.00226173,0.157215,0,0,0,0,0,0,1.32175,0.0781827,0.062796,1.04628,0,0,0,0,0,0
9,-0.9023,0.00429465,-0.0125967,-0.328839,0,0,0,0,0,0,-1.04022,0.000739768,-0.00642735,-0.0723606,0,0,0,0,0,0,-1.47939,0.0211496,-0.0152998,0.198171,0,0,0,0,0,0,0.894879,0.0830436,0.0893041,1.14042,0,0,0,0,0,0
10,0.923297,-0.00375396,-0.00415675,-0.225858,0,0,0,0,0,0,0.839003,0.000496769,-0.0135933,-0.219805,0,0,0,0,0,0,0.514017,0.00308684,-0.00245153,0.0182822,0,0,0,0,0,0,1.06958,0.0862013,0.0852311,1.0607,0,0,0,0,0,0
